Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
DIM_NAICS,2938,2937,1,WHERE CURRENT_IND <>120,2938,,2937,1,,,,,308
DIM_SIC,1012,1011,1,WHERE CURRENT_IND <>120,1012,,1011,1,,,,,308
DIM_SRC_SYS_SVC,152046,138916,13130,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL ,152046,,138916,13130,N/A,N/A,N/A,N/A,308
DIM_SRC_SYS,48,48,0,WHERE CURRENT_IND <>120,48,,48,0,,1,,1,0
DIM_PARTY,39560435,39550185,10250,WHERE CURRENT_IND <>120,39560435,,39550185,10250,,,,,198
DIM_STATE,4705,4721,-16,WHERE CURRENT_IND <>120,4705,,4721,-16,,5,,5,308
DIM_CCY,256,257,-1,WHERE CURRENT_IND <>120,256,,257,-1,,,,,308
DIM_RATE_TYPE,13,13,0,WHERE CURRENT_IND <>120,13,,13,0,,,,,
DIM_UOM,35,34,1,WHERE CURRENT_IND <>120,35,,34,1,,,,,N/A
DIM_FINCL_LOB,453,396,57,WHERE CURRENT_IND <>120,397,,396,1,56,,,,24400821
DIM_PARTY_HIST,50775462,39550185,11225277,WHERE CURRENT_IND <>120,50775462,,39550185,11225277,,,,,194
DIM_SALES_ANALYSIS_LOB,15,14,1,WHERE CURRENT_IND <>120,15,,14,1,,,,,308
DIM_SVC_PRC_HIST,7269428,910016,6359412,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND CUR_REC_FLG = 'Y',801142,,910016,-108874,,2,,2,308
SRC_DIM_MASCDC_AGRMT_R2,51980755,51541848,438907,WHERE CURRENT_IND <>120,51580768,,51541848,38920,N/A,N/A,N/A,N/A,308
DIM_AGRMT_VALUE_CHG_HIST,468917287,420926704,47990583,WHERE CURRENT_IND <>120,468917287,,420926704,47990583,,10,,10,308
FCT_P3_AGRMT_VALUE_DTL,4651842906,4792564777,-140721871,WHERE CURRENT_IND <>120 AND DIM_SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),4651842905,,4792564777,-140721872,1,,,,308
FCT_P3_REVENUE_TYPE_CORP_RATE,2232,2232,0,WHERE CURRENT_IND <>120,2232,,2232,0,,,,,308
FCT_ENT_CTLG_REVENUE_TYPE,14474,14465,9,WHERE CURRENT_IND <> 120 AND CUR_REC_FLG = 'Y' ,14474,,14465,9,,,,,308
FCT_P3_REVENUE_TYPE_TRGT,6588,6588,0,WHERE CURRENT_IND <>120,6588,,6588,0,,,,,308
FCT_P3_AGRMT_LN_ITEM_VALUE_CHG_HIST,2939828854,2919247944,20580910,WHERE CURRENT_IND <>120 AND DIM_SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2939828854,,2919247944,20580910,,27,,27,0
FCT_P3_RB_AGRMT_LN_ITEM_MNTH_AGG,47050206,46771915,278291,WHERE CURRENT_IND <>120,46981032,,46771915,209117,69174,16178,,16178,308
FCT_P3_AGRMT_LN_ITEM_INVC_AGG,3655456635,3741372149,-85915514,WHERE CURRENT_IND <>120,3655456635,,3741372149,-85915514,,,,,308
P3_AGRMT_CANCEL_AUDIT,105647521,82283885,23363636,WHERE CURRENT_IND <>120 AND P3_AGRMT_STS_CD = 'CANCELLED',105647521,,82283885,23363636,77594022,53941079,77594022,53941079,198
FCT_P3_PI_AGRMT_LN_ITEM_MNTH_AGG,956168675,952727571,3441104,WHERE CURRENT_IND <>120,956115818,,952727571,3388247,52857,52902,,52902,308
FCT_P3_PI_OPP_AGRMT_LN_ITEM_MNTH_AGG,7304154,18800177,-11496023,WHERE CURRENT_IND <>120,7302860,,18800177,-11497317,1294,4460,,4460,308
FCT_P3_RB_AGRMT_MNTH_AGG,3490674,3497149,-6475,WHERE CURRENT_IND <>120,3490354,,3497149,-6795,320,549,,549,308
FCT_P3_RTOLS_RB_RECUR_EFF_MNTH_AGG,7798228,8230322,-432094,WHERE CURRENT_IND <>120,7798228,,8230322,-432094,1535725,1560123,1535725,1560123,308
FCT_P3_RB_RECUR_EFF_AGRMT_MNTH_AGG,38144699,38741115,-596416,WHERE CURRENT_IND <>120,38144699,,38741115,-596416,239221,247879,239221,247879,308
FCT_P3_RTOLS_PI_RECUR_EFF_MNTH_AGG,50655114,57614452,-6959338,WHERE CURRENT_IND <>120,50655114,,57614452,-6959338,13016741,13165674,13016741,13165674,308
FCT_P3_PI_AGRMT_MNTH_AGG,83310343,83299849,10494,WHERE CURRENT_IND <>120,83309910,,83299849,10061,433,1059,,1059,308
FCT_P3_PI_OPP_AGRMT_MNTH_AGG,1933155,5836017,-3902862,WHERE CURRENT_IND <>120,1933155,,5836017,-3902862,,,,,308
FCT_P3_PI_RECUR_EFF_AGRMT_MNTH_AGG,912066883,921771622,-9704739,WHERE CURRENT_IND <>120,912066883,,921771622,-9704739,7772624,7877229,7772624,7877229,308
FCT_P3_PI_RECUR_EFF_AGRMT_LN_ITEM_MNTH_AGG,1082331317,1093145080,-10813763,WHERE CURRENT_IND <>120,1082331317,,1093145080,-10813763,15255,6713,15255,6713,308
